iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,78.6418776512146,-28.93045966058032,5.133559522319767,-17.22486933736939,-41.32557435220216,0.0,207.43184929939608,0.05,0.04883623123168945,0.8156805038452148,0.025598876,0.02401171,-28.93045966058032,0.0,60000,3.800541400909424,1.0000646222218783,0.016534167603778717,-28.613774895980377,0.0
1,74.98516464233398,-28.93045966058032,5.133559522319767,-17.22486933736939,-41.32557435220216,0.0,207.43184929939608,0.05,0.04919314384460449,0.8359408378601074,0.025598876,0.02401171,-28.93045966058032,0.0,60000,3.5493111610412598,1.0000646222218783,0.016534167603778717,-28.613774895980377,0.0
2,74.87443494796753,-28.703433162064968,6.636231767930458,0.5236066146112672,-55.58092450374088,0.0,157.22755287822875,0.05,0.04300117492675781,0.7632341384887695,0.024021978,0.03035464,-28.907757010728783,0.0,60000,7.326784610748291,0.03746155621032433,0.02114240933031606,-28.307851429935383,0.0
3,74.65801191329956,-26.867497065623173,6.919714856302899,13.260955603848574,-44.66452854858955,0.0,146.23365969941372,0.05,0.04132485389709473,0.7210142612457275,0.025339805,0.032111183,-28.70373101621822,0.0,60000,6.612902879714966,0.05095303769934,0.03886596972727768,-28.522674519836055,0.0
4,75.12716841697693,-27.91325503149972,7.314951049364991,3.20927974858029,-43.083052968324466,0.0,174.980166092756,0.05,0.0388026237487793,0.7404506206512451,0.024937928,0.035908796,-28.62468341774637,0.0,60000,6.366841793060303,0.02888041813724532,0.02299586803787465,-24.051117790749057,0.0
5,75.69068503379822,-26.52132906017675,9.24504148232738,39.50905602418455,-42.83292910207197,0.0,171.35310474373676,0.05,0.041442155838012695,0.7591681480407715,0.02531812,0.031492457,-28.41434798198941,0.0,60000,6.32896876335144,0.12474901546102808,0.10129966434146435,-25.539490536795384,0.0
6,74.21124124526978,-26.521996601637753,9.056806674341818,26.265598454550133,-41.81180078853478,0.0,173.3325424649186,0.05,0.038933753967285156,0.7718329429626465,0.025518429,0.03191813,-28.225112843954243,0.0,60000,7.341872692108154,0.1023239244067177,0.08042418892244417,-21.513704294639627,0.0
7,73.5073595046997,-26.865849225219872,7.17030357287586,6.183847226902435,-45.22706458733894,0.0,125.76164735731946,0.05,0.03903460502624512,0.7141883373260498,0.03168343,0.008078215,-28.089186482080805,0.0,60000,6.234585762023926,0.0777062711491216,0.04567145104884838,-24.985707697775407,0.0
8,74.25204038619995,-25.53820372269198,12.220567619644319,59.55869187265718,-50.62530623249452,0.0,165.80177024317058,0.05,0.03954267501831055,0.8405160903930664,0.024996119,0.03424296,-27.83408820614192,0.0,60000,6.07138991355896,0.21578839660093,0.16611976614963156,-22.862701961656143,0.0
9,73.68581509590149,-26.159390692928486,10.006714979443334,42.0347938170519,-61.120855068117635,0.0,170.2465178069382,0.05,0.041692495346069336,0.8175785541534424,0.02509125,0.032519218,-27.66661845482058,0.0,60000,5.901419639587402,0.12224162184130567,0.09798529873120085,-25.6896716799723,0.0
10,73.60342216491699,-24.94268328184151,9.367719121472827,18.06438714733393,-49.71249792149297,0.0,187.5210014682377,0.05,0.04113340377807617,0.6797089576721191,0.025376018,0.028742844,-27.394224937522672,0.0,60000,7.389542102813721,0.12153337937091674,0.09730865356482106,-27.22057193299684,0.0
11,73.26809096336365,-26.031178580446948,10.903435164992459,36.692558147588265,-55.07461228923427,0.0,174.38739277903147,0.05,0.040094614028930664,0.7840850353240967,0.02520461,0.030882977,-27.2579203018151,0.0,60000,6.224215507507324,0.13025578775375898,0.09616453805132229,-27.24751548597749,0.0
12,73.9105863571167,-23.528440318559607,13.246640768979695,80.73962839526301,-41.41735688507541,0.0,169.15851001488178,0.05,0.04306197166442871,0.7593305110931396,0.02508611,0.032678366,-26.884972303489555,0.0,60000,6.148394584655762,0.29824403250564313,0.21489650413577238,-11.909076855612575,0.0
13,74.28104209899902,-23.185527212688566,12.818773297789711,54.13091283688268,-42.46496462177836,0.0,166.245111362703,0.05,0.04280543327331543,0.841606855392456,0.023295777,0.052859023,-26.515027794409455,0.0,60000,5.994309663772583,0.323990896889983,0.22749655851665831,-15.015799749170126,0.0
14,73.28490972518921,-23.986976819150055,16.706622954016385,82.56081355699533,-48.86570118912268,0.0,150.93561251184906,0.05,0.040946245193481445,0.8148281574249268,0.022749519,0.043163933,-26.262222696883516,0.0,60000,5.959692001342773,0.3614487230358365,0.252693600398165,-23.199478200267368,0.0
15,73.37550020217896,-22.69682363595969,14.928825562545969,51.414116450617364,-40.45911476965329,0.0,181.61002362817055,0.05,0.04315495491027832,0.8089067935943604,0.025077123,0.02956309,-25.905682790791133,0.0,60000,5.835210800170898,0.30237241542710097,0.22351989249784443,-14.457295307449492,0.0
16,73.29588603973389,-20.666705875756733,20.04729189641958,94.11907298015133,-43.12684024736379,0.0,181.17309996090418,0.05,0.0425868034362793,0.8405418395996094,0.025060074,0.02880424,-25.381785099287693,0.0,60000,6.654353857040405,0.4399558601980791,0.3219587886707755,-19.617359225416468,0.0
17,73.15510511398315,-24.236829365065187,15.40788784520746,67.13307141507784,-91.16260326082269,0.0,176.51876612609178,0.05,0.04827260971069336,0.8608906269073486,0.025162682,0.027985636,-25.267289525865444,0.0,60000,6.310068130493164,0.5187684693867367,0.29442752022129276,-12.676880790362256,0.0
18,72.84155297279358,-21.804978735571048,21.03014774223108,150.3082731269921,-50.113314987735905,0.0,176.65705545673305,0.05,0.04044961929321289,0.7711904048919678,0.025634432,0.031725705,-24.921058446836003,0.0,60000,5.812312126159668,0.47081972625583385,0.305444595275812,-17.636919712172624,0.0
19,73.50265312194824,-18.588598312387646,22.893812807955815,194.02241429609623,-41.59880849346292,0.0,186.5430621205323,0.05,0.04026174545288086,0.8068623542785645,0.025235495,0.028674856,-24.287812433391167,0.0,60000,6.007757186889648,0.49910911420163867,0.37615407948460966,-7.0535081015840175,0.0
20,73.38876056671143,-16.943186957193607,25.539751576423164,132.12620880993646,-45.52647500578262,0.0,182.511060912491,0.05,0.04258608818054199,0.8088912963867188,0.024829784,0.027938718,-23.55334988577141,0.0,60000,5.997437000274658,0.6104254246444253,0.43709047048250976,-0.8769080975271294,0.0
21,74.13448357582092,-18.29230415248091,23.569183625063715,85.01737528222546,-59.599335139602495,0.0,182.5124432455196,0.05,0.04383492469787598,0.8086137771606445,0.025106328,0.026865344,-23.02724531244236,0.0,60000,5.917638301849365,0.5335404913329572,0.3953620802334446,12.153072871895379,0.0
22,75.2104332447052,-14.031873331540694,28.7519278237457,173.1412770744915,-43.79719105874168,0.0,176.47545559226242,0.05,0.03847146034240723,0.8193118572235107,0.025311306,0.029127024,-22.127708114352195,0.0,60000,5.467613697052002,0.6586045811412672,0.44465322044946026,37.4773696578664,0.0
23,74.18361949920654,-13.943527917972965,28.555561657882986,187.8057743016255,-56.14232079309797,0.0,189.52699131439363,0.05,0.041571617126464844,0.7849476337432861,0.025024256,0.025789803,-21.30929009471427,0.0,60000,5.520771026611328,0.6107984943814961,0.43645541644714275,22.82659377625836,0.0
24,73.73021292686462,-15.274884988920757,25.056514849456978,88.77814580072692,-60.3709784660653,0.0,179.00351791332997,0.05,0.0440213680267334,0.7840061187744141,0.025365,0.02773203,-20.70584958413492,0.0,60000,6.282064199447632,0.5520537930778007,0.4268721722113005,9.845329114103398,0.0
25,74.47999882698059,-11.787608091883977,30.03114773894884,119.033550233744,-41.41595309874767,0.0,177.25098682088714,0.05,0.04103398323059082,0.7370181083679199,0.024949577,0.028304247,-19.814025434909826,0.0,60000,7.235989332199097,0.5626521449570485,0.4088681268426772,39.95013651171725,0.0
26,74.61174440383911,-11.402745446479825,32.98105101923075,186.99275175769208,-44.1742645276572,0.0,189.05757983643707,0.05,0.041702985763549805,0.836031436920166,0.025136722,0.02618949,-18.972897436066827,0.0,60000,6.0183656215667725,0.6524328919846811,0.4684480679689224,64.96342813552283,0.0
27,73.68666553497314,-10.505687288259905,29.008709460058057,93.52164841459309,-42.326079165785536,0.0,179.09086150299586,0.05,0.041968584060668945,0.7813715934753418,0.02547127,0.02779874,-18.126176421286136,0.0,60000,6.684143543243408,0.6451538998945681,0.4473563901691926,47.77825893736563,0.0
28,73.78316879272461,-5.206016632629225,36.907450344326456,193.00481631200677,-51.383339268270134,0.0,190.4989211778043,0.05,0.03197026252746582,0.7502009868621826,0.02518894,0.026572123,-16.834160442420444,0.0,60000,5.853714942932129,0.6045380940542499,0.4588468141289665,50.90570732521292,0.0
29,74.27726292610168,-7.016895205838653,37.59755618168565,180.63886075524118,-45.48040166120276,0.0,182.46624196466618,0.05,0.041924238204956055,0.7827250957489014,0.024721028,0.027772143,-15.852433918762266,0.0,60000,5.888547897338867,0.6357015062951615,0.4689717147149386,49.5958297855582,0.0
30,74.31045031547546,74.16361765475693,1032.7906941558547,14632.021135506446,-51.8657285786961,0.5,155.14743162820153,0.05,0.040685415267944336,0.8233497142791748,0.02474078,0.046492055,-6.850828761410346,0.5,60000,5.764555215835571,0.9978354114921185,0.9216270516924334,35.690819498229814,0.0
31,73.40464282035828,-4.4800756177952925,34.33276361374564,198.31391595578896,-42.70529493445125,0.0,170.45495505071702,0.05,0.03952836990356445,0.768115758895874,0.025273979,0.028626358,-6.613753447048841,0.0,60000,6.289717197418213,14.286261254462495,0.8721078059922485,44.22678712436916,0.0
32,73.57897710800171,-6.908596596154229,42.18943850331603,197.71604513982896,-74.4886718640945,0.0,175.91570644227895,0.05,0.04308938980102539,0.7964763641357422,0.02506924,0.028478406,-6.64323776195938,0.0,60000,7.340842247009277,0.9364579577923444,0.6716668557872345,28.852030456066704,0.0
33,74.42001843452454,71.67027902929553,1022.718203677869,14486.842976422053,-58.26759279289838,0.5,178.7823807292833,0.05,0.04040098190307617,0.8799896240234375,0.02611939,0.03170664,1.1881139171661115,0.5,60000,6.21460485458374,0.9995030167489416,0.9466996739093589,28.530423537068174,0.0
34,73.91991806030273,-6.291462510543308,36.21296510753924,164.24421537724123,-60.70625715601037,0.0,170.61021682153435,0.05,0.03753352165222168,0.7768747806549072,0.02489958,0.028547311,0.44015627439516947,0.0,60000,6.01096773147583,23.814236302227094,1.133886294970056,36.35238986481762,0.0
